x,y,label
0.01081789905459607,-0.07848460876272384,20thC
-0.066463238663161062,-0.062473281751735221,ACCESS1
-0.068777022401266805,-0.062604178657891543,ACCESS1
-0.029773999727933615,-0.076658682905860781,ACCESS1
-0.03225921464617923,-0.07311454108335172,ACCESS1
-0.025260476032914828,-0.073346662579812358,ACCESS1
0.1804492534835406,-0.035247570450963508,bcc
0.18179601688786431,-0.034728290189738088,bcc
0.1835405111465363,-0.03580225448161746,bcc
0.10175719560048406,0.039599292818388483,bcc
0.10142943294079527,0.038231431070277835,bcc
0.10269351565913759,0.038784815059704492,bcc
0.099785518771525528,0.063191330522112829,BNU
0.0097362123629532674,-0.039546069302586695,CanCM4
0.0061827158502956456,-0.036361166283086201,CanCM4
0.0090351506266577626,-0.041963067929139938,CanCM4
0.015933744145470743,-0.039702410905510667,CanCM4
0.011513484257515872,-0.038530476932705691,CanCM4
0.0079208455809412683,-0.040748906498710165,CanCM4
0.0078973373079987801,-0.037789093769136563,CanCM4
0.0052278858378300985,-0.037436188718553989,CanCM4
0.0060433703392670365,-0.039037295974081926,CanCM4
-0.0058680687433485873,-0.032531036746714606,CanESM2
-0.0075456226008104943,-0.030226090515396112,CanESM2
-0.0083782117339934164,-0.02998779099575135,CanESM2
-0.0071196108948250051,-0.028132717667483018,CanESM2
-0.0062756100745659429,-0.033971767131480216,CanESM2
0.21277070377377372,-0.0673778528092739,CCSM4
0.21129472437351687,-0.06848006326189307,CCSM4
0.21729462307701386,-0.073395834987675088,CCSM4
0.21397457989915628,-0.069195685232783105,CCSM4
0.21439360597974016,-0.071865705695509,CCSM4
0.21594866078713895,-0.071444928239437253,CCSM4
0.21405436628758581,-0.070452414506204153,CCSM4
0.21192473820788205,-0.06703020397733396,CESM1
0.030299009068969332,-0.075177173427939573,CESM1
0.02668278080079392,-0.07701023445893207,CESM1
0.028371188518333371,-0.072718284901617317,CESM1
0.02639436307396862,-0.074465106333362591,CESM1
0.060609814478647064,-0.066176736323029908,CESM1
0.061294609817212506,-0.062188443555777372,CESM1
0.063929920632126103,-0.065223620805268001,CESM1
0.21550561435619547,-0.071695479786940963,CESM1
0.21776800659286411,-0.073020332132009286,CESM1
0.21742040013939204,-0.071536622038574735,CESM1
0.02364285816534116,-0.16265881543452243,CESM1
0.027593922593276716,-0.1614056729907849,CESM1
0.033264253620443038,-0.16712939388529499,CESM1
0.024110822743731077,-0.15720995320375517,CESM1
0.025978423372479555,-0.16511056529238119,CESM1
0.0288264693788065,-0.16431405106657448,CESM1
0.023681552764546386,-0.1621653334189587,CESM1
-0.038728473131995775,0.019496915767381325,CMCC
0.029678694745604382,-0.012040591325762341,CMCC
0.0028954244757352704,0.023433342595688706,CMCC
0.019138968737862028,0.0018319875054764103,CNRM
0.021688418811561277,0.01328605909059539,CNRM
0.019721833196935466,0.011088263864428882,CNRM
0.019103068141015353,0.014013577940532882,CNRM
0.020240843268515822,0.0125687709020248,CNRM
0.019847837141915303,0.012728562372955209,CNRM
0.020111799079140333,0.013953644038982657,CNRM
0.021156631669195101,0.013589084204597585,CNRM
0.018633392605171696,0.014883357663795733,CNRM
0.021945778860430459,0.01658602159694279,CNRM
-0.19094665335338737,-0.043481739436937478,CSIRO
-0.18868150646760912,-0.049403377901843328,CSIRO
-0.19048233687902846,-0.04652768277312886,CSIRO
-0.19097808045340248,-0.053796075054126258,CSIRO
-0.18903130692219838,-0.049820054661384061,CSIRO
-0.19020206749163562,-0.044181037408442377,CSIRO
-0.19344003396940992,-0.046575123238452011,CSIRO
-0.1909199863493532,-0.044316943644253294,CSIRO
-0.19109838371720472,-0.047414196535068398,CSIRO
-0.21935846238917217,0.078896153227450014,CSIRO
-0.095337152312696363,0.17254444428998589,FGOALS
-0.097956288091148258,0.17539403598069678,FGOALS
-0.097680604952713704,0.17467402995731168,FGOALS
-0.09730221945347739,0.17766245164987149,FGOALS
-0.10010497290731872,0.17691312791050717,FGOALS
0.086761053623807399,0.092844135066996833,FIO
0.082569743559223446,0.092786205899224358,FIO
0.094426580682782937,0.094573662172704062,FIO
-0.010051340738258811,-0.054278871909619018,GFDL
-0.012670033907751222,-0.052617203000528995,GFDL
-0.011852758385550407,-0.052451115877741532,GFDL
-0.0072963618929848323,-0.05646365451431589,GFDL
-0.009438430891241226,-0.054903360484395231,GFDL
-0.0044312956005579697,-0.056675694617521297,GFDL
-0.0082049370284980605,-0.053562290942325098,GFDL
-0.010196162881996715,-0.054226008474935146,GFDL
-0.010197350395125496,-0.052282662738372454,GFDL
-0.007590367701594253,-0.039594116180420316,GFDL
-0.0054300228274064546,-0.040711134731104319,GFDL
-0.0080282679145681057,-0.034936746393896025,GFDL
-0.0043581556070818985,-0.041555036957021278,GFDL
-0.010371101332108702,-0.036998939944887607,GFDL
-0.01446121788966866,-0.059610223099456502,GFDL
-0.019003226079232757,-0.035879411978099775,GFDL
-0.043588657979598502,0.034730035055119568,GISS
-0.041754543664629017,0.057315281766303218,GISS
-0.048123747693514185,0.058334273782187848,GISS
-0.055589294827562911,0.075609541416625806,GISS
-0.052206164308513908,0.079373292253160324,GISS
-0.052330973484799294,0.071885084786333722,GISS
-0.051750829095179265,0.076444394922395686,GISS
-0.054385104812335418,0.075053879094335182,GISS
-0.057451207353474067,0.082560934338965414,GISS
-0.055353878717817412,0.07832231394562332,GISS
-0.053128154023387067,0.07962330785871799,GISS
-0.05267970707123993,0.060975091051457375,GISS
-0.044619882412288779,0.05709917988534647,GISS
-0.046887247746107613,0.061336140107275644,GISS
-0.055784798234839873,0.074696822938094723,GISS
