x,y,timelabel
0.14368719757533591,-0.49163385615124583,1870-01-01
0.61816817795117285,0.41269683383387717,1871-01-01
0.043573081235506059,-0.74310390640751023,1872-01-01
-0.24797153033787764,0.68012722766491585,1873-01-01
0.5812367428631765,-0.47197899703084706,1874-01-01
0.74764155563496826,0.025193400946471343,1875-01-01
-0.73583127217217192,-0.10049912422314637,1876-01-01
0.23697784113911685,0.59742085370498255,1877-01-01
0.70063049296394098,0.24864557284549654,1878-01-01
-0.53391986618008958,0.51723782953046082,1879-01-01
-0.38620941100384476,0.62745467535023858,1880-01-01
-0.65963881402686952,0.34730537119869775,1881-01-01
0.71262382722408235,-0.051009457838954921,1882-01-01
0.5584385281853963,0.49904012062149067,1883-01-01
-0.19616431157051942,-0.6667509136011831,1884-01-01
-0.74013584527882426,0.0094184481368346697,1885-01-01
0.10556692505414586,-0.71169175684996766,1886-01-01
-0.37397850785613379,0.54152195272246384,1887-01-01
-0.67182419430866624,-0.040542567458079999,1888-01-01
-0.67989418543004654,0.26550950670824525,1889-01-01
-0.65322773232923237,-0.35084304603019723,1890-01-01
-0.1835011726322974,0.70266196845144968,1891-01-01
-0.46895643835026968,-0.57082832278543261,1892-01-01
0.14535934009384835,0.71380554218316139,1893-01-01
0.38730755727252963,-0.63667314947632758,1894-01-01
-0.39550684825055882,-0.62396427902215068,1895-01-01
0.66206381473271836,0.3216039960066398,1896-01-01
-0.0019431931720473221,0.73596376907131478,1897-01-01
-0.1013637301098532,0.73780311696807188,1898-01-01
-0.60055320025761305,-0.4472681107921036,1899-01-01
0.24780568707567521,-0.69573384309981179,1900-01-01
-0.096957351638279191,0.6655364925349937,1901-01-01
-0.019878731299985446,-0.64062040170635925,1902-01-01
-0.69787813736313176,-0.18318355320209706,1903-01-01
-0.51586433374557317,-0.31801732706925329,1904-01-01
0.63779551938320367,-0.36731234587722672,1905-01-01
0.39099698536731381,0.63230325480432914,1906-01-01
0.47638364820143547,-0.56749138116604469,1907-01-01
0.48774984701062207,0.39420531690559868,1908-01-01
-0.55572346000672923,-0.40747659140918729,1909-01-01
-0.45531498553185856,0.56831519996569269,1910-01-01
-0.66932130851098903,-0.25925464075514087,1911-01-01
-0.33929187242880615,-0.55042754855989806,1912-01-01
-0.48865818403897132,0.14425267748590129,1913-01-01
0.5577996513528114,-0.32871227241587564,1914-01-01
0.068896810589007942,0.71744847938845102,1915-01-01
0.51063546844648511,0.14517635631177364,1916-01-01
0.29731747522293039,-0.64201350937166113,1917-01-01
-0.52425604683569582,0.43445028647017109,1918-01-01
0.71035724963700408,-0.21635046635326405,1919-01-01
0.71685801305877161,0.17226596561799543,1920-01-01
-0.72867074181228741,0.1439882504707739,1921-01-01
-0.049173938591684063,-0.73114617244837155,1922-01-01
-0.67559397748921579,0.19460509868718476,1923-01-01
-0.27154493748755021,-0.6895780188907995,1924-01-01
-0.14372877757739505,-0.73392747390502966,1925-01-01
-0.31364944797504779,0.65759139695671287,1926-01-01
-0.58063324962522944,0.32606634383541827,1927-01-01
0.22769870669821837,0.71432976956920191,1928-01-01
0.67499304286686312,-0.285691597496812,1929-01-01
-0.6452545699917468,-0.1385362106820964,1930-01-01
0.26474228217230222,0.66150469978984994,1931-01-01
-0.52057035107050975,-0.49920912250270566,1932-01-01
0.38805163635294154,0.10781219053480322,1933-01-01
-0.69862581664994428,0.076504461576179225,1934-01-01
-0.29882617959894442,-0.62116916408719725,1935-01-01
0.53286083962610231,-0.41458642150232522,1936-01-01
0.61831919200160634,0.053093220934533877,1937-01-01
-0.56821084502785446,-0.25461061986437483,1938-01-01
0.3751286151697249,-0.5553657839009819,1939-01-01
-0.58826705876945362,0.41074708262653387,1940-01-01
0.10427863588215509,-0.57254048029738769,1941-01-01
0.0041275408582619908,0.60550321986959432,1942-01-01
-0.1505556525676606,0.53460488507425707,1943-01-01
-0.022511647299310888,-0.5314966984834314,1944-01-01
0.57821671748642678,0.17197074826902919,1945-01-01
0.17277797038238379,0.33499753292508955,1946-01-01
0.62226953053014367,-0.1614377510035212,1947-01-01
-0.26349679672742948,0.52182253502495546,1948-01-01
0.37648285005797505,-0.40656726792665449,1949-01-01
-0.12370779057354915,0.047504090946050813,1950-01-01
0.12136935691038296,0.54807118735780458,1951-01-01
0.27725441223261965,0.43993885923521947,1952-01-01
0.54101608065095397,-0.23610494945857108,1953-01-01
-0.5583666565361296,0.19896857492792572,1954-01-01
-0.37854886212167221,-0.36879433892956492,1955-01-01
-0.43530950785156652,0.45564507646510954,1956-01-01
0.16986614427326624,-0.68933024832501955,1957-01-01
-0.2603270172787161,-0.21831972499784422,1958-01-01
0.45397577727998445,0.56208318221590503,1959-01-01
0.38443410812727308,0.50102753891255092,1960-01-01
0.68585529979590198,0.10297820778082954,1961-01-01
-0.42072977157738745,-0.47840127820374961,1962-01-01
0.59037318307055309,-0.047222163004039301,1963-01-01
-0.25270951980800233,-0.49728541803679205,1964-01-01
0.50264648007158008,-0.080687598355051349,1965-01-01
0.48040098501237671,-0.49055899762297478,1966-01-01
0.31314963994132622,0.56495736749711933,1967-01-01
0.21095040294610237,-0.52640183355487791,1968-01-01
-0.50307943530539501,-0.15868817481478531,1969-01-01
0.56572325749768793,0.32892686329401261,1970-01-01
0.48291045680075151,0.27149447545027627,1971-01-01
0.70887319433809792,-0.11162058430573953,1972-01-01
0.47143270395607323,0.46595240172415825,1973-01-01
0.016760764083356566,0.53351920459402447,1974-01-01
-0.57223971649178218,0.039505761903742359,1975-01-01
-0.13024321545212827,-0.61242473750458359,1976-01-01
