x, y, label
0.014635637013932546,0.011072528427731704,ACCESS1
0.012528271210992719,0.013896541958509456,ACCESS1
0.024865399325503364,-0.0026443517966791676,ACCESS1
0.026937970558192227,-0.0021496879897980625,ACCESS1
0.021042836081007776,-0.0042939353560038458,ACCESS1
0.024037057318104117,-0.057675444276105894,bcc
0.024973512365139287,-0.05470009713071166,bcc
0.024881045596934478,-0.055795410827839821,bcc
-0.021732008681068671,-0.034624855888461634,bcc
-0.020181096680939058,-0.035152532999029984,bcc
-0.017386074388409452,-0.035996424123483917,bcc
-0.050233589897785196,-0.017337407075661972,BNU
0.0048597748096238453,-0.011142870551745038,CanCM4
0.0067326230910674262,-0.011776149663056106,CanCM4
0.0061867668247057323,-0.011011126653620298,CanCM4
0.0088413995532610114,-0.014019046031327812,CanCM4
0.006995975921281844,-0.011806557402234958,CanCM4
0.0090447215968949765,-0.011447474055383957,CanCM4
0.0051882093425410988,-0.010808831698271753,CanCM4
0.0064399255007688968,-0.0084321434843560479,CanCM4
0.0098495063446091043,-0.0097397459241463594,CanCM4
0.00058346877444795451,-0.0093468504398018116,CanESM2
0.0020861037300749104,-0.0075241336518268786,CanESM2
0.002405863794525127,-0.01064624253377687,CanESM2
0.0004936004487109413,-0.009315750484599504,CanESM2
0.0036541572409821534,-0.0095633916953006409,CanESM2
0.035152347063973369,-0.074608486319242828,CCSM4
0.033572112837017644,-0.067433027551451086,CCSM4
0.035899860316233913,-0.07477091634242633,CCSM4
0.03570845240559415,-0.071251008960467516,CCSM4
0.033794443411184927,-0.072696608979250982,CCSM4
0.034513746151817244,-0.072511138830470501,CCSM4
0.033526985618589529,-0.070684303412533664,CCSM4
0.029607355671360455,-0.068365496338819109,CESM1
0.025597782269447207,-0.014935675222534627,CESM1
0.02298890532669675,-0.012429436093730178,CESM1
0.021279663007117037,-0.013308197228302112,CESM1
0.025083778359322254,-0.010949493518128151,CESM1
0.02880761449291705,-0.022840192835638942,CESM1
0.023307752189425063,-0.021746663135314384,CESM1
0.027595227800479259,-0.025020458003876912,CESM1
0.03844157082846885,-0.074703670308102432,CESM1
0.03839704780090232,-0.072737420314384973,CESM1
0.038008553227814053,-0.072433493333242768,CESM1
0.07914806940708792,-0.021797905371394033,CESM1
0.085151287570073106,-0.023255002166121433,CESM1
0.085811656571021105,-0.027948123656107764,CESM1
0.082657710640403184,-0.023582409184950141,CESM1
0.083977503687067107,-0.025666476980993926,CESM1
0.086380577484988605,-0.025753204641919668,CESM1
0.087202357776099512,-0.023434342406650658,CESM1
-0.031980601594487262,0.023825801975325432,CMCC
-0.0035564051375739209,0.00040609873104002271,CMCC
-0.023002680300421605,0.0084214969195304731,CMCC
-0.0050533487526701467,-0.0021081280252326722,CNRM
-0.0070187214137241135,-0.00099534034396405011,CNRM
-0.004930598760758644,-0.0029838618157351248,CNRM
-0.0072667136683282783,0.00015957330520484744,CNRM
-0.0068846263233575487,-0.0002955525183909643,CNRM
-0.0068098053276343462,-0.00020106312510697526,CNRM
-0.0084021414872785995,0.00026551112947998333,CNRM
-0.0097457648282050727,-0.0020746550789637265,CNRM
-0.0066699943441685056,-0.0012264077715876953,CNRM
-0.008647629143165728,-0.00059133116082878969,CNRM
0.056316880621369594,0.065846855620241007,CSIRO
0.056745727952151555,0.063913228158351862,CSIRO
0.057250330475041362,0.066025678450015585,CSIRO
0.061922012115484447,0.068162302424436744,CSIRO
0.060948638607191248,0.064210116061073644,CSIRO
0.059135851716722081,0.066425309196509602,CSIRO
0.057155878327083354,0.066502335955299974,CSIRO
0.05591087319218653,0.067289183963067462,CSIRO
0.059142576667741933,0.066865898890715147,CSIRO
-0.022209385707614538,0.1304304919396567,CSIRO
0.0006843318737520741,-0.019956289933189653,EC
0.003650580095930903,-0.018326035619559641,EC
0.0013520882548333053,-0.01868027079903084,EC
0.001289556390856544,-0.017155115731781204,EC
0.0019783822348136484,-0.017210264437376058,EC
0.0053949591179192589,-0.020231520652380645,EC
-0.018520869765947672,0.043584884938685925,FGOALS
-0.02217102879849922,0.043900671407244012,FGOALS
-0.021650355445002632,0.045783279562088129,FGOALS
-0.02518119684798089,0.04738139840256575,FGOALS
-0.024499762746217277,0.047374032658170154,FGOALS
-0.044026843920796768,-0.019830726125314682,FIO
-0.043985159817972089,-0.019090183756741683,FIO
-0.042274566178490992,-0.025550301400979518,FIO
0.0064194690132663426,0.0018431343469597144,GFDL
0.005856596790221354,0.0034167926671612239,GFDL
0.0041483928361286818,0.0039271827594571833,GFDL
0.0085113334503368696,-0.0010796766574628987,GFDL
0.0089319039634090294,0.0037352924795587884,GFDL
0.011176429804184051,-0.0016195121854308849,GFDL
0.0058159676661113076,0.0022233078215770788,GFDL
0.0069650976288006591,0.0022443815387642209,GFDL
0.0061683067238633678,0.0027190989981160083,GFDL
0.0075951534684938283,0.00063446631773436408,GFDL
0.0087836955555573859,0.00016969044227815302,GFDL
0.0052165964873894773,0.0031535597251692504,GFDL
0.0080913052223707312,-9.1583514972631928e-05,GFDL
0.0080847383036261548,0.0031552274582562793,GFDL
0.014535035417468442,-0.0014983260921446299,GFDL
-0.004995353495708183,0.009475480077231804,GFDL
-6.8864497258500432e-05,0.014575387443130786,GISS
-0.016858859378119997,0.01811232500447095,GISS
-0.023136416722454735,0.022552690194438892,GISS
-0.035245833971607764,0.028916633321479906,GISS
-0.030780458001145754,0.023728839606950686,GISS
-0.032249192349180125,0.026272417527045171,GISS
-0.032929643666586503,0.026560987851477185,GISS
-0.032503948939599507,0.027129455236743222,GISS
